Crop,District,Date,Price
Capsicum,Ballari,2025-10-07,66.29
Capsicum,Koppal,2025-10-07,65.37
Capsicum,Raichur,2025-10-07,74.48
Capsicum,Kalaburagi,2025-10-07,74.62
Capsicum,Yadgir,2025-10-07,66.48
Capsicum,Bidar,2025-10-07,71.88
Capsicum,Vijayapura,2025-10-07,64.9
Capsicum,Bagalkot,2025-10-07,73.37
Capsicum,Belagavi,2025-10-07,63.54
Capsicum,Dharwad,2025-10-07,83.39
Capsicum,Gadag,2025-10-07,71.31
Capsicum,Haveri,2025-10-07,81.29
Cotton,Bangalore Urban,2025-10-07,56.59
Cotton,Bangalore Rural,2025-10-07,55.13
Cotton,Mysuru,2025-10-07,55.86
Cotton,Mandya,2025-10-07,58.06
Cotton,Tumakuru,2025-10-07,59.52
Cotton,Kolar,2025-10-07,56.75
Cotton,Chikkaballapur,2025-10-07,62.87
Cotton,Ramanagara,2025-10-07,65.58
Cotton,Hassan,2025-10-07,61.83
Cotton,Chikkamagaluru,2025-10-07,60.67
Cotton,Kodagu,2025-10-07,69.26
Cotton,Dakshina Kannada,2025-10-07,64.52
Cotton,Udupi,2025-10-07,58.18
Cotton,Uttara Kannada,2025-10-07,60.28
Cotton,Shivamogga,2025-10-07,57.21
Cotton,Davangere,2025-10-07,54.76
Cotton,Chitradurga,2025-10-07,60.72
Cotton,Ballari,2025-10-07,57.51
Cotton,Koppal,2025-10-07,52.77
Cotton,Raichur,2025-10-07,60.47
Cotton,Kalaburagi,2025-10-07,63.92
Cotton,Yadgir,2025-10-07,50.37
Cotton,Bidar,2025-10-07,58.86
Cotton,Vijayapura,2025-10-07,50.82
Cotton,Bagalkot,2025-10-07,60.98
Cotton,Belagavi,2025-10-07,51.57
Cotton,Dharwad,2025-10-07,63.09
Cotton,Gadag,2025-10-07,61.34
Cotton,Haveri,2025-10-07,57.72
Sugarcane,Bangalore Urban,2025-10-07,4.94
Sugarcane,Bangalore Rural,2025-10-07,4.73
Sugarcane,Mysuru,2025-10-07,5.4
Sugarcane,Mandya,2025-10-07,4.95
Sugarcane,Tumakuru,2025-10-07,5.25
Sugarcane,Kolar,2025-10-07,5.21
Sugarcane,Chikkaballapur,2025-10-07,4.59
Sugarcane,Ramanagara,2025-10-07,4.66
Sugarcane,Hassan,2025-10-07,4.98
Sugarcane,Chikkamagaluru,2025-10-07,4.7
Sugarcane,Kodagu,2025-10-07,4.88
Sugarcane,Dakshina Kannada,2025-10-07,4.99
Sugarcane,Udupi,2025-10-07,5.26
Sugarcane,Uttara Kannada,2025-10-07,4.43
Sugarcane,Shivamogga,2025-10-07,5.22
Sugarcane,Davangere,2025-10-07,5.07
Sugarcane,Chitradurga,2025-10-07,5.56
Sugarcane,Ballari,2025-10-07,5.18
Sugarcane,Koppal,2025-10-07,6.09
Sugarcane,Raichur,2025-10-07,4.95
Sugarcane,Kalaburagi,2025-10-07,5.01
Sugarcane,Yadgir,2025-10-07,4.68
Sugarcane,Bidar,2025-10-07,5.48
Sugarcane,Vijayapura,2025-10-07,5.66
Sugarcane,Bagalkot,2025-10-07,5.41
Sugarcane,Belagavi,2025-10-07,4.79
Sugarcane,Dharwad,2025-10-07,4.53
Sugarcane,Gadag,2025-10-07,4.98
Sugarcane,Haveri,2025-10-07,5.18
Maize,Bangalore Urban,2025-10-07,16.91
Maize,Bangalore Rural,2025-10-07,20.08
Maize,Mysuru,2025-10-07,19.93
Maize,Mandya,2025-10-07,16.83
Maize,Tumakuru,2025-10-07,18.31
Maize,Kolar,2025-10-07,19.91
Maize,Chikkaballapur,2025-10-07,18.34
Maize,Ramanagara,2025-10-07,19.18
Maize,Hassan,2025-10-07,19.09
Maize,Chikkamagaluru,2025-10-07,19.67
Maize,Kodagu,2025-10-07,17.91
Maize,Dakshina Kannada,2025-10-07,16.17
Maize,Udupi,2025-10-07,20.04
Maize,Uttara Kannada,2025-10-07,16.44
Maize,Shivamogga,2025-10-07,18.38
Maize,Davangere,2025-10-07,19.05
Maize,Chitradurga,2025-10-07,20.47
Maize,Ballari,2025-10-07,18.51
Maize,Koppal,2025-10-07,16.57
Maize,Raichur,2025-10-07,18.59
Maize,Kalaburagi,2025-10-07,17.95
Maize,Yadgir,2025-10-07,17.68
Maize,Bidar,2025-10-07,21.32
Maize,Vijayapura,2025-10-07,18.18
Maize,Bagalkot,2025-10-07,16.18
Maize,Belagavi,2025-10-07,15.57
Maize,Dharwad,2025-10-07,18.95
Maize,Gadag,2025-10-07,19.13
Maize,Haveri,2025-10-07,18.32
Rice,Bangalore Urban,2025-10-07,23.81
Rice,Bangalore Rural,2025-10-07,23.43
Rice,Mysuru,2025-10-07,24.57
Rice,Mandya,2025-10-07,27.07
Rice,Tumakuru,2025-10-07,27.13
Rice,Kolar,2025-10-07,22.27
Rice,Chikkaballapur,2025-10-07,23.53
Rice,Ramanagara,2025-10-07,24.39
Rice,Hassan,2025-10-07,24.73
Rice,Chikkamagaluru,2025-10-07,22.08
Rice,Kodagu,2025-10-07,19.7
Rice,Dakshina Kannada,2025-10-07,22.99
Rice,Udupi,2025-10-07,26.22
Rice,Uttara Kannada,2025-10-07,23.15
Rice,Shivamogga,2025-10-07,23.02
Rice,Davangere,2025-10-07,25.95
Rice,Chitradurga,2025-10-07,22.26
Rice,Ballari,2025-10-07,20.95
Rice,Koppal,2025-10-07,25.79
Rice,Raichur,2025-10-07,22.15
Rice,Kalaburagi,2025-10-07,21.77
Rice,Yadgir,2025-10-07,26.41
Rice,Bidar,2025-10-07,21.93
Rice,Vijayapura,2025-10-07,23.71
Rice,Bagalkot,2025-10-07,23.67
Rice,Belagavi,2025-10-07,23.56
Rice,Dharwad,2025-10-07,23.0
Rice,Gadag,2025-10-07,19.32
Rice,Haveri,2025-10-07,26.87
Wheat,Bangalore Urban,2025-10-07,21.33
Wheat,Bangalore Rural,2025-10-07,24.21
Wheat,Mysuru,2025-10-07,20.57
Wheat,Mandya,2025-10-07,19.51
Wheat,Tumakuru,2025-10-07,20.18
Wheat,Kolar,2025-10-07,25.86
Wheat,Chikkaballapur,2025-10-07,19.68
Wheat,Ramanagara,2025-10-07,22.16
Wheat,Hassan,2025-10-07,19.29
Wheat,Chikkamagaluru,2025-10-07,23.27
Wheat,Kodagu,2025-10-07,18.56
Wheat,Dakshina Kannada,2025-10-07,20.57
Wheat,Udupi,2025-10-07,23.05
Wheat,Uttara Kannada,2025-10-07,19.54
Wheat,Shivamogga,2025-10-07,23.79
Wheat,Davangere,2025-10-07,21.77
Wheat,Chitradurga,2025-10-07,19.46
Wheat,Ballari,2025-10-07,20.23
Wheat,Koppal,2025-10-07,22.52
Wheat,Raichur,2025-10-07,23.54
Wheat,Kalaburagi,2025-10-07,20.01
Wheat,Yadgir,2025-10-07,21.8
Wheat,Bidar,2025-10-07,20.13
Wheat,Vijayapura,2025-10-07,18.96
Wheat,Bagalkot,2025-10-07,21.25
Wheat,Belagavi,2025-10-07,20.03
Wheat,Dharwad,2025-10-07,21.34
Wheat,Gadag,2025-10-07,19.4
Wheat,Haveri,2025-10-07,23.78
Ragi,Bangalore Urban,2025-10-07,25.55
Ragi,Bangalore Rural,2025-10-07,23.66
Ragi,Mysuru,2025-10-07,28.0
Ragi,Mandya,2025-10-07,24.36
Ragi,Tumakuru,2025-10-07,28.13
Ragi,Kolar,2025-10-07,23.07
Ragi,Chikkaballapur,2025-10-07,27.01
Ragi,Ramanagara,2025-10-07,26.49
Ragi,Hassan,2025-10-07,24.31
Ragi,Chikkamagaluru,2025-10-07,25.93
Ragi,Kodagu,2025-10-07,27.01
Ragi,Dakshina Kannada,2025-10-07,24.72
Ragi,Udupi,2025-10-07,25.26
Ragi,Uttara Kannada,2025-10-07,22.62
Ragi,Shivamogga,2025-10-07,23.53
Ragi,Davangere,2025-10-07,24.44
Ragi,Chitradurga,2025-10-07,27.3
Ragi,Ballari,2025-10-07,24.77
Ragi,Koppal,2025-10-07,23.53
Ragi,Raichur,2025-10-07,22.82
Ragi,Kalaburagi,2025-10-07,24.05
Ragi,Yadgir,2025-10-07,21.5
Ragi,Bidar,2025-10-07,22.07
Ragi,Vijayapura,2025-10-07,24.1
Ragi,Bagalkot,2025-10-07,28.11
Ragi,Belagavi,2025-10-07,22.7
Ragi,Dharwad,2025-10-07,23.97
Ragi,Gadag,2025-10-07,24.41
Ragi,Haveri,2025-10-07,21.7
Groundnut,Bangalore Urban,2025-10-07,47.2
Groundnut,Bangalore Rural,2025-10-07,49.26
Groundnut,Mysuru,2025-10-07,49.83
Groundnut,Mandya,2025-10-07,40.6
Groundnut,Tumakuru,2025-10-07,46.04
Groundnut,Kolar,2025-10-07,40.92
Groundnut,Chikkaballapur,2025-10-07,43.51
Groundnut,Ramanagara,2025-10-07,39.29
Groundnut,Hassan,2025-10-07,55.48
Groundnut,Chikkamagaluru,2025-10-07,48.42
Groundnut,Kodagu,2025-10-07,48.47
Groundnut,Dakshina Kannada,2025-10-07,46.89
Groundnut,Udupi,2025-10-07,43.58
Groundnut,Uttara Kannada,2025-10-07,46.72
Groundnut,Shivamogga,2025-10-07,49.6
Groundnut,Davangere,2025-10-07,44.76
Groundnut,Chitradurga,2025-10-07,41.62
Groundnut,Ballari,2025-10-07,46.94
Groundnut,Koppal,2025-10-07,44.28
Groundnut,Raichur,2025-10-07,47.33
Groundnut,Kalaburagi,2025-10-07,50.06
Groundnut,Yadgir,2025-10-07,39.98
Groundnut,Bidar,2025-10-07,41.43
Groundnut,Vijayapura,2025-10-07,43.39
Groundnut,Bagalkot,2025-10-07,48.94
Groundnut,Belagavi,2025-10-07,35.46
Groundnut,Dharwad,2025-10-07,46.44
Groundnut,Gadag,2025-10-07,40.31
Groundnut,Haveri,2025-10-07,47.24
Sunflower,Bangalore Urban,2025-10-07,32.58
Sunflower,Bangalore Rural,2025-10-07,37.16
Sunflower,Mysuru,2025-10-07,34.67
Sunflower,Mandya,2025-10-07,34.69
Sunflower,Tumakuru,2025-10-07,37.95
Sunflower,Kolar,2025-10-07,40.29
Sunflower,Chikkaballapur,2025-10-07,38.25
Sunflower,Ramanagara,2025-10-07,34.62
Sunflower,Hassan,2025-10-07,34.22
Sunflower,Chikkamagaluru,2025-10-07,37.5
Sunflower,Kodagu,2025-10-07,36.84
Sunflower,Dakshina Kannada,2025-10-07,40.62
Sunflower,Udupi,2025-10-07,38.45
Sunflower,Uttara Kannada,2025-10-07,33.99
Sunflower,Shivamogga,2025-10-07,34.62
Sunflower,Davangere,2025-10-07,34.72
Sunflower,Chitradurga,2025-10-07,40.03
Sunflower,Ballari,2025-10-07,43.57
Sunflower,Koppal,2025-10-07,35.33
Sunflower,Raichur,2025-10-07,37.69
Sunflower,Kalaburagi,2025-10-07,40.8
Sunflower,Yadgir,2025-10-07,33.75
Sunflower,Bidar,2025-10-07,34.45
Sunflower,Vijayapura,2025-10-07,39.71
Sunflower,Bagalkot,2025-10-07,36.4
Sunflower,Belagavi,2025-10-07,41.73
Sunflower,Dharwad,2025-10-07,34.71
Sunflower,Gadag,2025-10-07,35.67
Sunflower,Haveri,2025-10-07,40.51
Turmeric,Bangalore Urban,2025-10-07,107.61
Turmeric,Bangalore Rural,2025-10-07,111.39
Turmeric,Mysuru,2025-10-07,110.35
Turmeric,Mandya,2025-10-07,116.94
Turmeric,Tumakuru,2025-10-07,124.12
Turmeric,Kolar,2025-10-07,120.68
Turmeric,Chikkaballapur,2025-10-07,103.95
Turmeric,Ramanagara,2025-10-07,111.39
Turmeric,Hassan,2025-10-07,111.58
Turmeric,Chikkamagaluru,2025-10-07,119.36
Turmeric,Kodagu,2025-10-07,124.14
Turmeric,Dakshina Kannada,2025-10-07,106.52
Turmeric,Udupi,2025-10-07,113.18
Turmeric,Uttara Kannada,2025-10-07,115.72
Turmeric,Shivamogga,2025-10-07,115.59
Turmeric,Davangere,2025-10-07,122.97
Turmeric,Chitradurga,2025-10-07,114.62
Turmeric,Ballari,2025-10-07,110.84
Turmeric,Koppal,2025-10-07,110.66
Turmeric,Raichur,2025-10-07,113.79
Turmeric,Kalaburagi,2025-10-07,117.16
Turmeric,Yadgir,2025-10-07,109.55
Turmeric,Bidar,2025-10-07,128.73
Turmeric,Vijayapura,2025-10-07,113.16
Turmeric,Bagalkot,2025-10-07,122.57
Turmeric,Belagavi,2025-10-07,115.08
Turmeric,Dharwad,2025-10-07,112.6
Turmeric,Gadag,2025-10-07,128.43
Turmeric,Haveri,2025-10-07,126.96
Ginger,Bangalore Urban,2025-10-07,140.7
Ginger,Bangalore Rural,2025-10-07,140.14
Ginger,Mysuru,2025-10-07,133.1
Ginger,Mandya,2025-10-07,138.21
Ginger,Tumakuru,2025-10-07,136.73
Ginger,Kolar,2025-10-07,138.13
Ginger,Chikkaballapur,2025-10-07,146.03
Ginger,Ramanagara,2025-10-07,136.83
Ginger,Hassan,2025-10-07,139.75
Ginger,Chikkamagaluru,2025-10-07,149.58
Ginger,Kodagu,2025-10-07,148.7
Ginger,Dakshina Kannada,2025-10-07,135.8
Ginger,Udupi,2025-10-07,134.92
Ginger,Uttara Kannada,2025-10-07,135.3
Ginger,Shivamogga,2025-10-07,141.19
Ginger,Davangere,2025-10-07,111.77
Ginger,Chitradurga,2025-10-07,139.46
Ginger,Ballari,2025-10-07,124.72
Ginger,Koppal,2025-10-07,134.44
Ginger,Raichur,2025-10-07,130.39
Ginger,Kalaburagi,2025-10-07,149.64
Ginger,Yadgir,2025-10-07,143.72
Ginger,Bidar,2025-10-07,136.03
Ginger,Vijayapura,2025-10-07,161.16
Ginger,Bagalkot,2025-10-07,157.81
Ginger,Belagavi,2025-10-07,142.68
Ginger,Dharwad,2025-10-07,131.84
Ginger,Gadag,2025-10-07,117.28
Ginger,Haveri,2025-10-07,124.57
Tomato,Bangalore Urban,2025-10-08,32.58
Tomato,Bangalore Rural,2025-10-08,35.22
Tomato,Mysuru,2025-10-08,31.9
Tomato,Mandya,2025-10-08,33.49
Tomato,Tumakuru,2025-10-08,33.31
Tomato,Kolar,2025-10-08,29.79
Tomato,Chikkaballapur,2025-10-08,34.86
Tomato,Ramanagara,2025-10-08,34.59
Tomato,Hassan,2025-10-08,36.34
Tomato,Chikkamagaluru,2025-10-08,34.34
Tomato,Kodagu,2025-10-08,28.62
Tomato,Dakshina Kannada,2025-10-08,33.56
Tomato,Udupi,2025-10-08,27.89
Tomato,Uttara Kannada,2025-10-08,27.78
Tomato,Shivamogga,2025-10-08,34.28
Tomato,Davangere,2025-10-08,33.38
Tomato,Chitradurga,2025-10-08,34.14
Tomato,Ballari,2025-10-08,28.36
Tomato,Koppal,2025-10-08,31.15
Tomato,Raichur,2025-10-08,32.09
Tomato,Kalaburagi,2025-10-08,29.64
Tomato,Yadgir,2025-10-08,26.73
Tomato,Bidar,2025-10-08,34.07
Tomato,Vijayapura,2025-10-08,35.99
Tomato,Bagalkot,2025-10-08,33.67
Tomato,Belagavi,2025-10-08,29.18
Tomato,Dharwad,2025-10-08,30.56
Tomato,Gadag,2025-10-08,36.03
Tomato,Haveri,2025-10-08,24.5
Onion,Bangalore Urban,2025-10-08,27.29
Onion,Bangalore Rural,2025-10-08,25.69
Onion,Mysuru,2025-10-08,27.44
